# key	doi
# References for: A Practical Guide to Pangenome Graph Construction...
# Lines with MANUAL are handled separately (no DOI available)
robinson2011	10.1038/nbt.1754
siren2021	10.1126/science.abg8871
garrison2018	10.1038/nbt.4227
paten2017	10.1101/gr.214155.116
liao2023	10.1038/s41586-023-05896-x
eizenga2020	10.1146/annurev-genom-120219-080406
secomandi2025	10.1038/s41588-024-02029-6
wang2022	10.1038/s41586-022-04601-8
garrison2023	10.1093/bioinformatics/btac743
garrison2024	10.1038/s41592-024-02430-3
shoer2024	10.1016/j.chom.2024.08.017
schreiber2024	10.1038/s41576-024-00691-4
bolognini2024	10.1038/s41586-024-07911-1
pravenec1989	MANUAL
printz2003	10.1152/japplphysiol.00064.2003
mulligan2017	10.1007/978-1-4939-6427-7_4
dejong2024	10.1016/j.xgen.2024.100527
martin2023	10.1093/nar/gkac958
guarracino2021wfmash	MANUAL
guarracino2022odgi	10.1093/bioinformatics/btac308
danecek2021	10.1093/gigascience/giab008
cleary2015	10.1101/023754
cingolani2012	10.4161/fly.19695
zhou2012	10.1038/ng.2310
arends_bxdtools	MANUAL
ebert2021	10.1126/science.abf7117
heller2020	10.1093/bioinformatics/btaa1034
hall_lab	MANUAL
jeffares2017	10.1038/ncomms14061
tarailo2009	10.1002/0471250953.bi0410s25
huang2023	10.1093/bioinformatics/btad595
li2018	10.1093/bioinformatics/bty191
heumos2024	10.1093/bioinformatics/btae609
rhie2020	10.1186/s13059-020-02134-9
vurture2017	10.1093/bioinformatics/btx153
yun2021	10.1093/bioinformatics/btaa1081
marcais2018	10.1371/journal.pcbi.1005944
smith2020	10.1093/nar/gkz1041
hickey2024	10.1038/s41587-023-01793-w
villani2025	10.1016/j.isci.2025.111835
li2025	10.1016/j.isci.2025.112079
villani2025thesis	MANUAL
guarracino2025impg	MANUAL
helmy2026	10.1016/j.xgen.2025.101074
francis2025	10.1038/s41588-025-02367-z
kent2002	10.1101/gr.229102
wick2015	10.1093/bioinformatics/btv383
gonnella2019	10.1093/bioinformatics/bty1046
beyer2019	10.1093/bioinformatics/btz597
bostock2011	10.1109/TVCG.2011.185
siren2024	10.1038/s41592-024-02407-2
heumos2024pgsgd	10.1093/bioinformatics/btae363
mastromatteo2025	10.1101/2025.10.31.684064
lee2002	10.1093/bioinformatics/18.3.452
marcosola2023	10.1093/bioinformatics/btad074
jain2018	10.1093/bioinformatics/bty597
garrison2022vcflib	10.1371/journal.pcbi.1009123
manni2021	10.1093/molbev/msab199
weisenfeld2017	10.1101/gr.214874.116
quinlan2010	10.1093/bioinformatics/btq033
deorowicz2023	10.1093/bioinformatics/btad097
kaushan2026	10.64898/2026.02.16.706236
cheng2021	10.1038/s41592-020-01056-5
rautiainen2023	10.1038/s41587-023-01662-6
